Section Number,Name,Description,Offence,Punishment,Cognizable,Bailable,Court Level
210,Arson,Punishes intentional setting of fire to property.,Arson,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
211,Cyberstalking,Punishes online harassment and cyberstalking.,Cyberstalking,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
212,Identity theft,Punishes unauthorized use of another personâ€™s identity.,Identity theft,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
213,Online fraud and phishing,Punishes digital scams and online financial fraud.,Online fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
214,Unauthorized access to government data,Punishes hacking into government databases.,Government hacking,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
215,Propagating hate speech,Punishes individuals who spread hate speech against communities.,Hate speech,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
216,Obscene online content,Punishes distribution of obscene or offensive digital content.,Online obscenity,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
217,Harboring criminals,Punishes individuals who shelter or assist criminals.,Harboring criminals,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
218,Failure to report a crime,Punishes individuals who deliberately withhold information about crimes.,Failure to report crime,Up to 3 years imprisonment or fine,Yes,Yes,Magistrate Court
219,Obstructing police investigations,Punishes those who interfere with ongoing criminal investigations.,Police obstruction,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
220,Leaking classified government information,Punishes those who unlawfully disclose confidential state data.,Unauthorized disclosure,Up to 14 years imprisonment,Yes,No,Sessions Court
221,Causing environmental disasters,Punishes those responsible for large-scale environmental damage.,Environmental disaster,Up to life imprisonment and fine,Yes,No,Sessions Court
222,Engaging in biological warfare,Punishes development or use of biological weapons.,Biological warfare,Death penalty or life imprisonment,Yes,No,Sessions Court
223,Unauthorized possession of nuclear materials,Punishes individuals involved in illegal handling of nuclear substances.,Nuclear material possession,Up to life imprisonment,Yes,No,Sessions Court
224,Violence during public protests,Punishes individuals who commit violence in protests.,Protest violence,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
225,Forced religious conversions,Punishes coercion for religious conversion.,Religious coercion,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
226,Marital rape,Punishes non-consensual acts within marriage.,Marital rape,Up to 7 years imprisonment,Yes,No,Sessions Court
227,Honor killings,Punishes murders committed in the name of family honor.,Honor killing,Death penalty or life imprisonment,Yes,No,Sessions Court
228,Lynching,Punishes individuals involved in mob lynching.,Lynching,Up to life imprisonment,Yes,No,Sessions Court
229,Political corruption,Punishes politicians involved in corruption or misuse of power.,Political corruption,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
230,Smuggling of cultural artifacts,Punishes illegal trade of historical artifacts.,Cultural smuggling,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
231,Destruction of religious sites,Punishes individuals who damage places of worship.,Religious vandalism,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
232,False accusations,Punishes individuals who falsely accuse others of crimes.,False accusation,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
233,Disrupting emergency services,Punishes those who interfere with essential public services.,Emergency disruption,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
234,Creating public nuisance,Punishes acts that disturb peace and order.,Public nuisance,Up to 1 year imprisonment or fine,Yes,Yes,Magistrate Court
235,Unauthorized financial trading,Punishes illegal stock market or commodity trading activities.,Financial fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
236,Manipulating online reviews,Punishes individuals or companies that post fake online reviews.,Review manipulation,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
237,Scamming through fake job offers,Punishes those who deceive job seekers with fraudulent offers.,Job scam,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
238,Selling counterfeit automobile parts,Punishes manufacturers and dealers of fake vehicle components.,Counterfeit auto parts,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
239,Fraud in multi-level marketing (MLM) schemes,Punishes pyramid schemes and deceptive MLM practices.,MLM fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
240,Illegal sand mining,Punishes unauthorized extraction of sand from riverbeds.,Sand mining,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
241,Tampering with meter readings,"Punishes fraudulent changes to electricity, gas, or water meter readings.",Utility fraud,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
242,Fraud in online ticket bookings,"Punishes fraudulent practices in railway, flight, and event ticket sales.",Ticket fraud,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
243,Sabotaging water pipelines,Punishes individuals who damage water supply infrastructure.,Water sabotage,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
244,Spreading false medical information,Punishes individuals who spread misleading or fake health advice.,Medical misinformation,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
245,Creating and sharing deepfake content,Punishes individuals who produce and share fake videos or images.,Deepfake content,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
246,Hoarding and black marketing of essential goods,Punishes illegal stockpiling of necessary commodities.,Black marketing,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
247,Poaching of marine wildlife,Punishes illegal hunting and trade of marine animals.,Marine poaching,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
248,Smuggling of rare plants,Punishes unauthorized trade of protected plant species.,Illegal plant trade,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
249,Illegal dumping of hazardous waste,Punishes improper disposal of toxic chemicals and industrial waste.,Hazardous waste dumping,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
250,Deliberate disruption of internet services,Punishes intentional sabotage of digital communications.,Internet disruption,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
251,Hate crimes,Punishes acts committed with intent to harm individuals based on identity.,Hate crime,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
252,Defaming public figures,Punishes spreading false information to damage reputations.,Defamation,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
253,Forgery of land documents,Punishes individuals who forge property-related documents.,Land forgery,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
254,Fraudulent real estate deals,Punishes deceptive land or property transactions.,Real estate fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
255,Encroachment of public land,Punishes illegal occupation of government land.,Land encroachment,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
256,Illegal construction,Punishes unauthorized building activities.,Illegal construction,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
257,Fraudulent loan applications,Punishes false documentation for obtaining loans.,Loan fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
258,Corrupt financial practices,Punishes financial professionals engaging in fraudulent activities.,Financial corruption,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
259,Tampering with public utilities,"Punishes unauthorized interference with electricity, water, or telecom services.",Utility tampering,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
260,Disrupting public transportation,Punishes acts that interfere with transportation services.,Public transport disruption,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
261,Counterfeiting brand products,Punishes the manufacturing and sale of fake branded goods.,Counterfeit goods,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
262,Manufacturing fake documents,Punishes individuals who produce forged identification or certificates.,Fake documents,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
263,Spreading false panic messages,Punishes individuals who incite unnecessary panic in the public.,False panic,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
264,Unauthorized military impersonation,Punishes individuals who falsely claim to be in the armed forces.,Military impersonation,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
265,Fraud in stock markets,Punishes individuals engaged in illegal stock market manipulations.,Stock fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
266,Misuse of government funds,Punishes officials who divert public funds for personal gain.,Fund misappropriation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
267,Illegal money laundering,Punishes those who conceal financial transactions from authorities.,Money laundering,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
268,Theft of intellectual property,Punishes unauthorized use of copyrighted or patented material.,IP theft,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
269,Spreading malware or viruses,Punishes individuals who create or distribute harmful digital content.,Cyber attack,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
270,Obstructing emergency responders,"Punishes individuals who interfere with ambulance, fire, or disaster response teams.",Emergency obstruction,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
271,Endangering public safety,Punishes acts that put public safety at risk.,Public safety endangerment,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
272,Cyber terrorism,Punishes digital activities aimed at harming national security.,Cyber terrorism,Life imprisonment,Yes,No,Sessions Court
273,Disrupting religious gatherings,Punishes individuals who disturb religious ceremonies.,Religious disturbance,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
274,Fraud in charity organizations,Punishes individuals who misuse charitable donations.,Charity fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
275,Hoarding medical supplies,Punishes those who stockpile and overcharge for essential medicines.,Medical hoarding,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
276,Selling expired or fake medicines,Punishes retailers selling expired or fake pharmaceuticals.,Fake medicine sales,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
277,Poisoning water sources,Punishes those who deliberately contaminate water supplies.,Water poisoning,Up to life imprisonment,Yes,No,Sessions Court
278,Violence against journalists,Punishes physical attacks on media professionals.,Assault on journalists,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
279,Online impersonation and fraud,Punishes individuals who create fake social media accounts to commit fraud.,Online fraud,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
280,Unauthorized drone surveillance,Punishes illegal use of drones to monitor individuals or places.,Drone surveillance,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
281,Online harassment and trolling,Punishes individuals who repeatedly harass others online.,Cyber harassment,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
282,False advertising of medical treatments,Punishes misleading medical treatment advertisements.,False medical ads,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
283,Vandalism of public transport,"Punishes individuals who damage buses, trains, or metro services.",Public transport vandalism,Up to 3 years imprisonment and fine,Yes,No,Sessions Court
284,Theft of electricity,Punishes unauthorized use or theft of electricity.,Electricity theft,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
285,Leaking examination papers,Punishes individuals involved in leaking board or university exams.,Exam paper leak,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
286,Organizing illegal gambling,Punishes individuals who operate unauthorized gambling or betting operations.,Illegal gambling,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
287,Smuggling of human organs,Punishes individuals involved in illegal organ trade.,Organ smuggling,Up to life imprisonment,Yes,No,Sessions Court
288,Disrupting emergency communication networks,Punishes individuals who sabotage emergency response communication.,Emergency disruption,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
289,Misuse of social welfare schemes,Punishes individuals who fraudulently obtain government benefits.,Welfare fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
290,Unauthorized possession of government IDs,Punishes individuals who forge or illegally possess official identity cards.,Fake government ID,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
291,Spreading fake job recruitment notices,Punishes individuals who post fraudulent job offers.,Fake job recruitment,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
292,Deliberate contamination of food supply,Punishes individuals who knowingly introduce harmful substances into food production.,Food contamination,Up to life imprisonment,Yes,No,Sessions Court
293,Sexual exploitation in workplaces,Punishes individuals involved in sexual harassment at the workplace.,Workplace harassment,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
294,Manipulation of digital evidence,Punishes individuals who alter or delete digital evidence in legal cases.,Digital evidence tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
295,Sabotaging renewable energy projects,"Punishes individuals who disrupt solar, wind, or hydroelectric power projects.",Energy sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
296,Illegal trade of historical manuscripts,Punishes individuals involved in smuggling or selling ancient scripts and texts.,Heritage smuggling,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
297,Deliberate tampering with air pollution control devices,Punishes individuals who disable or manipulate emission control systems.,Pollution control tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
298,Cyber extortion,Punishes individuals who threaten others with digital blackmail.,Cyber extortion,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
299,Threats to national security through digital platforms,Punishes individuals who use social media for acts that threaten national security.,Digital security threat,Up to life imprisonment,Yes,No,Sessions Court
300,Unauthorized testing of biological agents,Punishes individuals who conduct unauthorized experiments with viruses or bacteria.,Illegal biological testing,Up to life imprisonment,Yes,No,Sessions Court
301,Unauthorized clinical trials,Punishes individuals who conduct medical trials without proper approval.,Illegal clinical trials,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
302,False representation in legal proceedings,Punishes individuals who impersonate others in court cases.,Legal impersonation,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
303,Leaking trade secrets,Punishes employees who unlawfully share confidential business information.,Trade secret breach,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
304,Forgery of vehicle registration certificates,Punishes individuals who produce or use fake vehicle registration documents.,Fake vehicle registration,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
305,Manipulating cryptocurrency markets,Punishes individuals who engage in fraudulent activities involving cryptocurrencies.,Crypto fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
306,Online radicalization,Punishes individuals who use digital platforms to spread extremist ideology.,Radicalization,Up to life imprisonment,Yes,No,Sessions Court
307,Unauthorized genetic modifications,Punishes individuals involved in illegal genetic engineering experiments.,Illegal genetic modification,Up to life imprisonment,Yes,No,Sessions Court
308,Tampering with weather monitoring equipment,Punishes individuals who interfere with meteorological stations.,Weather data manipulation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
309,Unauthorized sale of burial land,Punishes individuals who illegally sell land meant for public burials.,Burial land fraud,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
310,Hate crimes against disabled persons,Punishes acts of violence or discrimination against disabled individuals.,Hate crime,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
311,Illegal marketing of controlled substances,Punishes unauthorized promotion and sale of regulated medications.,Controlled substance abuse,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
312,Defacement of currency notes,Punishes individuals who intentionally damage legal tender.,Currency defacement,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
313,Illegal modification of firearms,Punishes those who alter weapons without authorization.,Firearm modification,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
314,Falsifying academic research,Punishes researchers who fabricate or manipulate scientific data.,Research fraud,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
315,Fraud in medical insurance claims,Punishes individuals who file false medical insurance claims.,Insurance fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
316,Unauthorized human cloning,Punishes those involved in illegal cloning of human cells or embryos.,Human cloning,Up to life imprisonment,Yes,No,Sessions Court
317,Tampering with disaster warning systems,Punishes individuals who disable or manipulate emergency alert systems.,Disaster system sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
318,Disrupting military operations,Punishes acts that interfere with defense forces.,Military interference,Up to life imprisonment,Yes,No,Sessions Court
319,Smuggling of radioactive materials,Punishes individuals who transport or trade nuclear substances unlawfully.,Radioactive smuggling,Up to life imprisonment,Yes,No,Sessions Court
320,Producing and distributing counterfeit currency,Punishes those involved in the illegal production of fake money.,Counterfeit currency,Up to life imprisonment,Yes,No,Sessions Court
321,Harassment of election officials,Punishes threats or violence against election officers.,Election interference,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
322,Destruction of military records,Punishes individuals who unlawfully destroy military documentation.,Military document tampering,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
323,Spreading conspiracy theories with intent to incite violence,Punishes those who deliberately spread false information to provoke unrest.,Inciting violence,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
324,Illegal organ harvesting,Punishes individuals involved in the unlawful removal of human organs.,Organ harvesting,Up to life imprisonment,Yes,No,Sessions Court
325,Misuse of artificial intelligence for fraud,Punishes individuals who use AI systems to commit financial or identity fraud.,AI fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
326,Unauthorized genetic data collection,Punishes companies or individuals who collect genetic data without consent.,Genetic data privacy violation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
327,Smuggling of exotic pets,Punishes the illegal trade of rare and endangered animals.,Exotic pet trade,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
328,Tampering with police evidence,"Punishes individuals who manipulate, destroy, or alter police evidence.",Evidence tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
329,Unauthorized sale of military equipment,Punishes individuals who sell or trade government defense equipment illegally.,Military equipment trade,Up to life imprisonment,Yes,No,Sessions Court
330,Deliberate obstruction of climate change research,Punishes acts that intentionally disrupt climate studies or manipulate data.,Climate research obstruction,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
331,Unauthorized collection of biometric data,Punishes individuals or organizations that collect biometric data without consent.,Biometric privacy violation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
332,Hacking into government databases,Punishes cybercriminals who access government systems without authorization.,Cyber espionage,Up to life imprisonment,Yes,No,Sessions Court
333,Spreading misinformation about public health emergencies,Punishes individuals who deliberately mislead the public on health crises.,Public health misinformation,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
334,Sabotaging renewable energy grids,"Punishes individuals who disrupt solar, wind, or hydroelectric power distribution.",Energy sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
335,Theft of industrial secrets,Punishes employees or competitors who steal confidential business data.,Industrial espionage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
336,Tampering with flight control systems,Punishes those who interfere with aviation control networks.,Aviation security breach,Up to life imprisonment,Yes,No,Sessions Court
337,Unauthorized use of deepfake technology for fraud,Punishes individuals who use deepfake AI for financial scams or defamation.,Deepfake fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
338,Leaking classified defense documents,Punishes unauthorized disclosure of military and defense information.,Defense document leak,Up to life imprisonment,Yes,No,Sessions Court
339,Misuse of emergency funds,Punishes individuals or organizations that misuse disaster relief or crisis management funds.,Emergency fund fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
340,Tampering with pharmaceutical trials,Punishes individuals or companies that falsify medical research data.,Drug trial fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
341,Deliberate disruption of satellite communication,Punishes individuals or organizations that interfere with satellite networks.,Satellite sabotage,Up to life imprisonment,Yes,No,Sessions Court
342,Illegal arms trafficking,Punishes individuals involved in smuggling or illegal trade of weapons.,Arms trafficking,Up to life imprisonment,Yes,No,Sessions Court
343,Sabotaging water purification plants,Punishes those who contaminate or disable water treatment facilities.,Water sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
344,Cyberbullying leading to self-harm,Punishes individuals who harass others online to the extent of causing self-harm.,Severe cyberbullying,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
345,Organizing unauthorized drone surveillance,Punishes illegal use of drones for spying or stalking.,Illegal drone surveillance,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
346,Trafficking of counterfeit luxury goods,Punishes individuals who manufacture or sell fake branded products.,Luxury goods fraud,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
347,Spreading false investment schemes,Punishes fraudulent financial schemes like Ponzi and fake investment scams.,Investment fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
348,Sabotaging public transportation safety,"Punishes acts that endanger the safety of passengers on buses, trains, or metros.",Public transport sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
349,Unauthorized disposal of nuclear waste,Punishes illegal dumping of radioactive materials.,Nuclear waste crime,Up to life imprisonment,Yes,No,Sessions Court
350,Deliberate tampering with forensic evidence,Punishes individuals who alter or destroy evidence in criminal investigations.,Forensic evidence tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
351,Unauthorized sale of human embryos,Punishes individuals who illegally sell or trade human embryos.,Embryo trafficking,Up to life imprisonment,Yes,No,Sessions Court
352,Illicit trade of protected plant species,Punishes individuals involved in illegal logging or trade of rare plants.,Illegal plant trade,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
353,Falsifying land ownership records,Punishes those who alter property records to claim false ownership.,Land record fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
354,Spreading false information to influence elections,Punishes individuals who use misinformation to manipulate election results.,Election misinformation,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
355,Selling stolen mobile phones,Punishes individuals who trade in stolen or illegally obtained mobile devices.,Mobile theft trafficking,Up to 3 years imprisonment and fine,Yes,Yes,Magistrate Court
356,Tampering with disaster relief supplies,Punishes individuals who hoard or misuse supplies meant for disaster victims.,Disaster relief fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
357,Obstructing medical emergency responders,Punishes those who interfere with ambulance services or medical professionals.,Medical obstruction,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
358,Unauthorized sale of explosive materials,Punishes individuals who trade in explosives without legal permits.,Explosive materials trade,Up to life imprisonment,Yes,No,Sessions Court
359,Sabotaging water reservoirs,Punishes individuals who damage or contaminate public water storage systems.,Water supply sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
360,Illegal sale of wildlife trophies,Punishes individuals who trade in animal remains like ivory and skins.,Wildlife trafficking,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
361,Forgery of business contracts,Punishes individuals who falsify commercial agreements.,Business fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
362,Online impersonation of government officials,Punishes individuals who pretend to be government officials for fraudulent purposes.,Government impersonation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
363,Unauthorized surveillance using AI,Punishes individuals or organizations that use AI for illegal surveillance.,AI surveillance abuse,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
364,Tampering with digital voting systems,Punishes individuals who manipulate electronic voting machines.,Election fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
365,Blackmail using private digital data,Punishes individuals who threaten others using hacked or leaked personal information.,Digital blackmail,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
366,Unauthorized sale of government-issued licenses,Punishes individuals who illegally trade or forge official licenses.,License fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
367,Deliberate spreading of computer viruses,Punishes individuals who create or distribute malicious software.,Cybercrime,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
368,Smuggling of rare fossils,Punishes individuals who trade in protected fossil remains.,Fossil smuggling,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
369,Obstructing international rescue efforts,Punishes individuals who interfere with humanitarian operations.,Rescue operation obstruction,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
370,Spying on journalists,Punishes individuals or organizations that unlawfully monitor journalists.,Press surveillance,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
371,Illicit trafficking of medicinal plants,Punishes individuals who illegally trade in protected medicinal plants.,Medicinal plant trafficking,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
372,Sabotaging underground transportation systems,Punishes individuals who damage metro or tunnel systems.,Metro sabotage,Up to life imprisonment,Yes,No,Sessions Court
373,Manipulating sports betting results,Punishes individuals who influence sports events for illegal betting.,Sports fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
374,Hoarding of artificial intelligence resources,Punishes individuals or companies who restrict AI model access for profit.,AI hoarding,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
375,Tampering with renewable energy storage systems,Punishes individuals who damage or disrupt energy storage grids.,Energy sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
376,Using AI for financial fraud,Punishes individuals who manipulate financial markets using AI models.,AI financial fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
377,Theft of self-driving vehicle technology,Punishes individuals who steal or misuse autonomous vehicle algorithms.,Tech espionage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
378,Misuse of drone swarms for attacks,Punishes individuals who use multiple drones for coordinated illegal activities.,Drone warfare,Up to life imprisonment,Yes,No,Sessions Court
379,Obstructing space exploration missions,Punishes individuals who sabotage satellite launches or space research.,Space mission sabotage,Up to life imprisonment,Yes,No,Sessions Court
380,Manipulation of AI-driven news platforms,Punishes individuals who use AI to generate fake news or propaganda.,AI misinformation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
381,Tampering with AI-driven medical diagnosis systems,Punishes individuals who manipulate AI-based medical predictions.,Medical AI tampering,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
382,Illicit use of AI in electoral campaigns,Punishes misuse of AI-generated content to influence elections.,AI electoral fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
383,Unauthorized cloning of endangered species,Punishes individuals or companies involved in genetic cloning of rare animals.,Illegal animal cloning,Up to life imprisonment,Yes,No,Sessions Court
384,Tampering with AI-powered law enforcement systems,Punishes interference with AI surveillance used by police or legal authorities.,Law enforcement AI sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
385,Illegal use of AI in military operations,Punishes individuals who deploy AI-driven weapons without authorization.,Unauthorized AI warfare,Up to life imprisonment,Yes,No,Sessions Court
386,Tampering with climate modeling data,Punishes individuals or organizations that falsify climate change reports.,Climate data manipulation,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
387,Hoarding of quantum computing resources,Punishes companies or individuals restricting access to quantum computers.,Quantum tech hoarding,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
388,Unauthorized sale of AI-driven surveillance tools,Punishes illegal trade of AI-based security and facial recognition systems.,AI surveillance trade,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
389,Fraud in AI-generated digital identity creation,Punishes individuals who generate fake identities using AI.,AI identity fraud,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
390,Tampering with AI-generated forensic reports,Punishes individuals who manipulate forensic reports created using AI analysis.,Forensic AI tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
391,Manipulating AI-driven financial models,Punishes individuals who exploit AI for financial market manipulation.,AI financial fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
392,Unauthorized geoengineering experiments,Punishes individuals who attempt to modify Earth's climate without approval.,Illegal geoengineering,Up to life imprisonment,Yes,No,Sessions Court
393,Illicit use of AI for mass disinformation,Punishes large-scale use of AI-generated content to spread false news.,AI disinformation,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
394,Tampering with AI-driven personal assistants,Punishes individuals who exploit AI virtual assistants to collect unauthorized data.,AI assistant data breach,Up to 5 years imprisonment and fine,Yes,No,Sessions Court
395,Illegal trade of AI-generated artwork and music,Punishes unauthorized selling of AI-created intellectual property.,AI art theft,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
396,Deliberate sabotage of AI-driven autonomous vehicles,Punishes hacking or interference with self-driving cars.,Autonomous vehicle sabotage,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
397,Unauthorized sale of AI facial recognition databases,Punishes individuals who sell biometric data collected via AI.,Facial recognition data leak,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
398,Misuse of AI to replicate human voices and images,Punishes individuals who use AI to impersonate others through voice or video.,AI impersonation fraud,Up to 10 years imprisonment and fine,Yes,No,Sessions Court
399,Manipulation of AI-driven weather forecasting systems,Punishes individuals who alter meteorological reports for financial gain.,Weather data tampering,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
400,Hacking into AI-driven medical implants,Punishes cybercriminals who access and manipulate AI-powered medical devices.,Medical AI hacking,Up to life imprisonment,Yes,No,Sessions Court
401,Unauthorized AI-driven psychological profiling,Punishes individuals who use AI to analyze and manipulate human behavior without consent.,AI profiling abuse,Up to 7 years imprisonment and fine,Yes,No,Sessions Court
